,PublishDate,Tweets,CleanedTweet
3884,2020-02-04 23:00:56+00:00,❝I encourage all British nationals in #Hubei to register with our teams if they want to leave on this flight.❞ @DominicRaab @foreignoffice will charter another civilian aircraft to help British nationals and their dependants leave #Wuhan for the UK. #coronavirus,"['team', 'flight', 'aircraft', 'help']"
3885,2020-02-04 23:00:49+00:00,Shoddy Coronavirus Studies Are Going Viral And Stoking Panic https://www.buzzfeednews.com/article/stephaniemlee/shoddy-coronavirus-studies-are-going-viral-and-stoking-panic via @stephaniemlee,"['studies', 'panic']"
3886,2020-02-04 23:00:27+00:00,"BREAKING: Number of confirmed coronavirus cases rises to 23,800+","['number', 'case']"
3887,2020-02-04 23:00:11+00:00,"Thank you, @SenCoryGardner, for the warm message &amp; statement of #US Congressional support for #Taiwan. Your friendship &amp; backing of the country's @WHO meaningful participation are truly treasured. Politics mustn't factor in the spread of #Coronavirus &amp; jeopardize #HealthForAll.","['message', 'statement', 'support', 'friendship', 'backing', 'country', 'participation', 'factor']"
3888,2020-02-04 23:00:06+00:00,"As people begin returning home to start work, what can you do to prevent the spread of the novel #coronavirus? Watch this video to learn what do to in every situation, from returning from the holiday to staying at home and riding public transportation. ","['people', 'return', 'home', 'work', 'situation', 'return', 'holiday', 'home', 'transportation']"
3889,2020-02-04 22:59:54+00:00,Thought I had Corona virus but doc said it was just an STD god is good,['virus']
3890,2020-02-04 22:59:29+00:00,"We r here 2day 2 stand 2gether as a community. As San Diegans. While every1 must b vigilant @this time 2 Nsure the coronavirus isn't spreading, this shouldn't deter ppl from shopping, dining &amp; supporting ALL of SD’s small businesses http://bit.ly/3b4BNCl @ABASD @ConvoyDistrict","['community', 'time', 'shopping', 'dining', 'support', 'business']"
3891,2020-02-04 22:58:47+00:00,"Jus got off the phone with Obama, trynna get this coronavirus stuff straightened out ","['phone', 'stuff']"
3892,2020-02-04 22:57:02+00:00,"China virus death toll rises to 490, says government: AFP news agency #Coronavirus","['virus', 'death', 'toll', 'government', 'news']"
3893,2020-02-04 22:57:01+00:00,"Exporters....check out this helpful info from @NZTEnews on the coronavirus outbreak Alongside @MFATgovtNZ, we're carefully monitoring the trade impacts on New Zealand primary industries and businesses. Find out more and get help here &gt;&gt; https://bit.ly/2SbU2gs","['trade', 'impact', 'industry', 'business', 'help']"
3894,2020-02-04 22:56:23+00:00,Twitter Google Facebook erroneously removed posts about coronavirus manmade in lab. This morning it has been declared manmade in lab!,"['lab', 'morning', 'lab']"
3895,2020-02-04 22:55:08+00:00,"Americans are taking all these precautions to prevent coronavirus, yet obesity causes an estimated 300,000 deaths per year ","['precaution', 'obesity', 'estimate', 'death', 'year']"
